placekey,visits_by_day,visitor_home_aggregation
237-222@627-s8h-zs5,"[6,11,7,12,11,6,10,10,9,7,13,14,7,7,7,10,2,6,7,6,3,6,9,12,2,7,2,7,10,7,5]","[{'ZIP': '10003', 'n': 18}, {'ZIP': '10009', 'n': 11}, {'ZIP': '10010', 'n': 11}, {'ZIP': '11207', 'n': 7}, {'ZIP': '11208', 'n': 7}, {'ZIP': '11229', 'n': 6}]"
zzy-224@627-wbz-sqz,"[46,41,43,52,52,50,41,53,33,46,47,50,39,38,50,27,27,33,34,24,30,44,32,33,21,25,37,49,55,52,31]","[{'ZIP': '10004', 'n': 66}, {'ZIP': '10005', 'n': 17}, {'ZIP': '10006', 'n': 48}, {'ZIP': '10007', 'n': 65}, {'ZIP': '10012', 'n': 12}, {'ZIP': '10013', 'n': 17}, {'ZIP': '10038', 'n': 31}, {'ZIP': '10280', 'n': 5}, {'ZIP': '11103', 'n': 8}, {'ZIP': '11106', 'n': 8}, {'ZIP': '11206', 'n': 8}, {'ZIP': '11221', 'n': 8}]"
zzz-222@627-wc9-5fz,"[12,19,19,14,9,14,13,12,14,10,12,14,21,21,22,18,10,17,19,12,29,14,15,15,14,10,16,23,17,23,26]","[{'ZIP': '10001', 'n': 8}, {'ZIP': '10011', 'n': 8}, {'ZIP': '10306', 'n': 9}, {'ZIP': '11201', 'n': 19}, {'ZIP': '11204', 'n': 8}, {'ZIP': '11210', 'n': 8}, {'ZIP': '11214', 'n': 9}, {'ZIP': '11219', 'n': 8}, {'ZIP': '11220', 'n': 8}, {'ZIP': '11223', 'n': 8}, {'ZIP': '11224', 'n': 8}, {'ZIP': '11229', 'n': 16}, {'ZIP': '11230', 'n': 8}, {'ZIP': '11231', 'n': 8}, {'ZIP': '11234', 'n': 12}, {'ZIP': '11236', 'n': 8}]"
zzw-22m@627-wbz-w49,"[10,11,15,19,19,10,14,13,9,6,11,14,10,10,12,9,14,8,6,6,7,7,5,5,7,5,8,7,10,8,5]","[{'ZIP': '10003', 'n': 5}, {'ZIP': '10009', 'n': 9}, {'ZIP': '11209', 'n': 12}, {'ZIP': '11365', 'n': 8}, {'ZIP': '11373', 'n': 8}, {'ZIP': '11377', 'n': 12}]"
zzw-226@627-s4n-649,"[5,9,5,8,5,4,10,2,6,7,7,6,2,4,7,2,2,8,4,1,12,5,4,0,1,1,1,4,3,7,2]","[{'ZIP': '10021', 'n': 8}, {'ZIP': '10028', 'n': 13}, {'ZIP': '10075', 'n': 17}, {'ZIP': '10128', 'n': 8}]"
zzz-222@627-s8p-qpv,"[9,10,12,12,5,6,7,7,6,7,17,6,7,8,5,13,5,9,8,6,13,14,9,6,3,3,11,10,9,8,5]","[{'ZIP': '11101', 'n': 21}, {'ZIP': '11217', 'n': 9}, {'ZIP': '11357', 'n': 8}]"
zzz-222@627-s8m-f9f,"[32,42,45,43,37,31,39,43,45,44,52,46,33,40,52,43,39,30,15,20,34,41,34,30,13,11,25,44,46,45,27]","[{'ZIP': '10002', 'n': 8}, {'ZIP': '10003', 'n': 16}, {'ZIP': '10009', 'n': 66}, {'ZIP': '10010', 'n': 19}, {'ZIP': '10016', 'n': 26}, {'ZIP': '10017', 'n': 14}, {'ZIP': '10024', 'n': 8}, {'ZIP': '11377', 'n': 12}]"
22h-223@627-s4v-bc5,"[18,14,15,25,14,14,15,19,13,12,25,18,16,20,24,27,12,22,16,18,20,25,17,18,8,17,18,20,15,16,28]","[{'ZIP': '10001', 'n': 5}, {'ZIP': '10011', 'n': 5}, {'ZIP': '10018', 'n': 5}, {'ZIP': '10026', 'n': 49}, {'ZIP': '10027', 'n': 8}, {'ZIP': '10029', 'n': 9}, {'ZIP': '10030', 'n': 13}, {'ZIP': '10037', 'n': 17}, {'ZIP': '10039', 'n': 13}, {'ZIP': '10451', 'n': 8}, {'ZIP': '10452', 'n': 8}, {'ZIP': '10456', 'n': 8}, {'ZIP': '11104', 'n': 8}, {'ZIP': '11366', 'n': 5}, {'ZIP': '11377', 'n': 12}, {'ZIP': '11418', 'n': 5}, {'ZIP': '11432', 'n': 5}]"
zzz-222@627-sb6-92k,"[89,90,86,83,107,114,86,72,72,80,81,105,87,80,82,84,77,80,87,82,90,84,89,103,59,81,67,73,97,101,99]","[{'ZIP': '10460', 'n': 8}, {'ZIP': '11101', 'n': 8}, {'ZIP': '11103', 'n': 16}, {'ZIP': '11104', 'n': 8}, {'ZIP': '11354', 'n': 9}, {'ZIP': '11356', 'n': 8}, {'ZIP': '11357', 'n': 12}, {'ZIP': '11358', 'n': 16}, {'ZIP': '11365', 'n': 8}, {'ZIP': '11368', 'n': 173}, {'ZIP': '11369', 'n': 53}, {'ZIP': '11370', 'n': 32}, {'ZIP': '11372', 'n': 262}, {'ZIP': '11373', 'n': 45}, {'ZIP': '11374', 'n': 5}, {'ZIP': '11377', 'n': 58}, {'ZIP': '11378', 'n': 9}, {'ZIP': '11417', 'n': 8}, {'ZIP': '11418', 'n': 5}, {'ZIP': '11421', 'n': 13}, {'ZIP': '11435', 'n': 12}]"
235-222@627-s4m-v75,"[6,12,9,6,7,7,10,9,9,7,13,8,3,15,12,10,6,8,6,2,9,9,8,4,1,5,2,9,5,5,5]","[{'ZIP': '10028', 'n': 24}, {'ZIP': '10075', 'n': 16}, {'ZIP': '10128', 'n': 12}, {'ZIP': '11368', 'n': 8}, {'ZIP': '11375', 'n': 8}]"
