placekey,visits_by_day,visitor_home_aggregation
22q-222@627-s8h-w8v,"[17,4,2,8,11,3,8,5,10,6,3,8,6,10,13,4,3,7,4,11,11,11,3,5,6,8,9,9,13,6,3]","[{'ZIP': '10003', 'n': 13}, {'ZIP': '10009', 'n': 8}, {'ZIP': '10010', 'n': 5}, {'ZIP': '10024', 'n': 8}, {'ZIP': '10028', 'n': 8}, {'ZIP': '10035', 'n': 8}, {'ZIP': '10075', 'n': 12}, {'ZIP': '10457', 'n': 5}, {'ZIP': '10458', 'n': 5}, {'ZIP': '11201', 'n': 8}]"
zzz-222@627-s6k-sdv,"[2,4,5,10,8,19,12,9,1,10,14,11,9,13,9,7,9,12,6,16,16,3,3,7,10,12,11,10,4,3,3]","[{'ZIP': '10457', 'n': 31}, {'ZIP': '10458', 'n': 16}, {'ZIP': '10459', 'n': 13}, {'ZIP': '10460', 'n': 27}]"
zzy-222@627-s92-gtv,"[4,4,9,8,6,8,9,2,3,10,6,7,14,9,5,6,5,5,9,11,8,4,7,4,8,7,6,3,5,9,2]","[{'ZIP': '11208', 'n': 8}, {'ZIP': '11216', 'n': 20}, {'ZIP': '11233', 'n': 8}, {'ZIP': '11238', 'n': 12}]"
22t-222@627-wbv-fzz,"[4,5,3,4,4,7,4,5,1,2,6,3,7,1,6,5,2,5,8,6,4,3,6,9,5,3,7,2,3,11,3]","[{'ZIP': '10001', 'n': 8}, {'ZIP': '10018', 'n': 15}, {'ZIP': '10036', 'n': 11}]"
27s-222@627-s4n-vvf,"[2,1,2,3,0,0,4,3,1,2,3,6,2,1,1,3,3,5,4,3,7,5,1,2,3,2,1,7,2,3,2]","[{'ZIP': '10022', 'n': 12}, {'ZIP': '10028', 'n': 8}, {'ZIP': '10128', 'n': 8}, {'ZIP': '11377', 'n': 8}]"
zzz-222@627-wgj-2c5,"[92,133,90,91,65,127,92,69,91,93,115,115,172,126,93,109,123,102,132,114,123,89,173,93,119,93,142,61,47,68,105]","[{'ZIP': '10002', 'n': 8}, {'ZIP': '10304', 'n': 11}, {'ZIP': '10305', 'n': 19}, {'ZIP': '10306', 'n': 12}, {'ZIP': '10309', 'n': 8}, {'ZIP': '11203', 'n': 9}, {'ZIP': '11204', 'n': 34}, {'ZIP': '11210', 'n': 40}, {'ZIP': '11214', 'n': 53}, {'ZIP': '11218', 'n': 17}, {'ZIP': '11220', 'n': 5}, {'ZIP': '11223', 'n': 192}, {'ZIP': '11224', 'n': 66}, {'ZIP': '11226', 'n': 18}, {'ZIP': '11229', 'n': 233}, {'ZIP': '11230', 'n': 61}, {'ZIP': '11234', 'n': 88}, {'ZIP': '11235', 'n': 576}]"
zzw-228@627-s8j-k2k,"[10,2,8,9,4,8,15,7,3,8,6,6,10,5,8,4,6,4,4,8,7,1,7,7,7,2,13,9,5,4,1]","[{'ZIP': '10002', 'n': 6}, {'ZIP': '10016', 'n': 16}, {'ZIP': '10018', 'n': 8}, {'ZIP': '10038', 'n': 6}, {'ZIP': '11217', 'n': 7}, {'ZIP': '11229', 'n': 8}, {'ZIP': '11235', 'n': 8}]"
zzz-222@627-s84-tsq,"[8,6,0,3,2,3,2,7,7,1,5,1,4,1,2,3,2,5,4,5,5,2,3,3,5,8,3,5,2,5,3]","[{'ZIP': '11207', 'n': 20}, {'ZIP': '11208', 'n': 16}, {'ZIP': '11414', 'n': 8}]"
zzy-223@627-s64-yvz,"[19,14,16,32,22,36,17,7,7,24,24,20,10,16,8,15,17,19,24,13,6,7,11,13,10,12,9,6,7,5,10]","[{'ZIP': '10033', 'n': 8}, {'ZIP': '10040', 'n': 8}, {'ZIP': '10459', 'n': 9}, {'ZIP': '10463', 'n': 14}, {'ZIP': '10471', 'n': 37}, {'ZIP': '10474', 'n': 9}]"
229-222@627-wc7-8sq,"[1,1,5,4,4,1,10,2,4,5,13,7,1,5,5,8,5,4,7,8,8,7,5,5,4,10,5,6,4,7,2]","[{'ZIP': '10002', 'n': 11}, {'ZIP': '10038', 'n': 7}, {'ZIP': '11220', 'n': 8}, {'ZIP': '11362', 'n': 6}, {'ZIP': '11363', 'n': 6}]"
zzz-222@627-s4s-nnq,"[3,8,6,11,12,16,12,8,11,10,10,17,9,11,9,7,11,14,11,17,9,7,7,12,8,13,10,11,6,8,8]","[{'ZIP': '10002', 'n': 7}, {'ZIP': '10027', 'n': 18}, {'ZIP': '10031', 'n': 26}, {'ZIP': '10032', 'n': 17}, {'ZIP': '10469', 'n': 6}, {'ZIP': '11379', 'n': 8}]"
zzz-222@627-s4v-2zf,"[10,11,6,10,3,7,3,3,3,3,3,5,2,6,8,5,10,4,12,13,8,13,4,8,5,1,11,1,0,0,2]","[{'ZIP': '10029', 'n': 29}, {'ZIP': '10454', 'n': 5}, {'ZIP': '10467', 'n': 8}]"
22c-222@627-wc7-qmk,"[5,2,3,3,5,4,7,5,2,9,6,4,5,3,4,2,6,4,5,3,5,2,0,8,4,6,5,4,2,0,1]","[{'ZIP': '10002', 'n': 8}, {'ZIP': '10003', 'n': 21}, {'ZIP': '10009', 'n': 6}, {'ZIP': '10011', 'n': 13}, {'ZIP': '10012', 'n': 13}, {'ZIP': '10014', 'n': 8}]"
