placekey,visits_by_day,visitor_home_aggregation
zzz-222@627-s9t-3yv,"[104,126,77,44,101,88,97,101,103,112,98,89,115,116,125,117,81,115,92,87,89,105,107,97,75,87,92,108,121,102,83]","[{'ZIP': '10314', 'n': 8}, {'ZIP': '10469', 'n': 8}, {'ZIP': '11004', 'n': 8}, {'ZIP': '11101', 'n': 6}, {'ZIP': '11203', 'n': 16}, {'ZIP': '11206', 'n': 12}, {'ZIP': '11207', 'n': 168}, {'ZIP': '11208', 'n': 89}, {'ZIP': '11211', 'n': 8}, {'ZIP': '11212', 'n': 57}, {'ZIP': '11213', 'n': 14}, {'ZIP': '11214', 'n': 8}, {'ZIP': '11216', 'n': 12}, {'ZIP': '11221', 'n': 28}, {'ZIP': '11223', 'n': 8}, {'ZIP': '11226', 'n': 8}, {'ZIP': '11229', 'n': 8}, {'ZIP': '11233', 'n': 55}, {'ZIP': '11235', 'n': 12}, {'ZIP': '11236', 'n': 27}, {'ZIP': '11237', 'n': 32}, {'ZIP': '11365', 'n': 6}, {'ZIP': '11366', 'n': 8}, {'ZIP': '11367', 'n': 8}, {'ZIP': '11368', 'n': 9}, {'ZIP': '11372', 'n': 8}, {'ZIP': '11373', 'n': 16}, {'ZIP': '11374', 'n': 16}, {'ZIP': '11375', 'n': 30}, {'ZIP': '11379', 'n': 19}, {'ZIP': '11385', 'n': 142}, {'ZIP': '11411', 'n': 8}, {'ZIP': '11412', 'n': 12}, {'ZIP': '11414', 'n': 25}, {'ZIP': '11415', 'n': 22}, {'ZIP': '11416', 'n': 20}, {'ZIP': '11417', 'n': 16}, {'ZIP': '11418', 'n': 37}, {'ZIP': '11419', 'n': 16}, {'ZIP': '11420', 'n': 12}, {'ZIP': '11421', 'n': 49}, {'ZIP': '11423', 'n': 20}, {'ZIP': '11427', 'n': 12}, {'ZIP': '11428', 'n': 8}, {'ZIP': '11432', 'n': 16}, {'ZIP': '11692', 'n': 12}, {'ZIP': '11694', 'n': 8}]"
zzy-223@627-wc7-st9,"[24,12,17,10,21,16,14,14,18,19,8,9,16,22,19,15,12,16,15,14,18,17,15,19,12,3,10,9,10,5,9]","[{'ZIP': '10003', 'n': 31}, {'ZIP': '10009', 'n': 17}, {'ZIP': '10012', 'n': 7}, {'ZIP': '10021', 'n': 8}, {'ZIP': '10027', 'n': 8}, {'ZIP': '10075', 'n': 8}, {'ZIP': '10469', 'n': 8}, {'ZIP': '11216', 'n': 8}, {'ZIP': '11236', 'n': 8}, {'ZIP': '11377', 'n': 12}, {'ZIP': '11385', 'n': 8}]"
zzy-222@627-s6c-9s5,"[2,6,7,2,5,4,4,5,4,5,5,2,4,3,5,3,3,4,4,7,8,2,4,1,3,3,4,3,4,2,4]","[{'ZIP': '10454', 'n': 16}, {'ZIP': '10455', 'n': 38}]"
22c-224@627-wc7-sbk,"[8,4,4,4,6,6,2,8,5,1,0,4,15,19,18,12,4,3,11,14,15,13,8,7,6,16,14,14,19,21,5]","[{'ZIP': '10039', 'n': 8}, {'ZIP': '10308', 'n': 9}, {'ZIP': '10312', 'n': 9}, {'ZIP': '11229', 'n': 8}, {'ZIP': '11416', 'n': 5}, {'ZIP': '11417', 'n': 5}, {'ZIP': '11419', 'n': 5}]"
223-223@627-s8j-h3q,"[9,9,8,7,13,11,11,11,6,7,5,4,5,12,12,6,7,1,7,6,14,12,7,10,5,16,10,8,5,7,9]","[{'ZIP': '10002', 'n': 13}, {'ZIP': '10003', 'n': 12}, {'ZIP': '10009', 'n': 19}, {'ZIP': '10010', 'n': 12}, {'ZIP': '11206', 'n': 11}, {'ZIP': '11221', 'n': 7}]"
zzw-228@627-s4r-wtv,"[17,22,20,15,20,18,18,32,30,19,16,12,14,19,31,13,28,15,20,16,26,24,19,25,12,15,17,17,15,14,17]","[{'ZIP': '10002', 'n': 7}, {'ZIP': '10019', 'n': 16}, {'ZIP': '10023', 'n': 83}, {'ZIP': '10024', 'n': 42}, {'ZIP': '10025', 'n': 28}, {'ZIP': '10026', 'n': 11}, {'ZIP': '10030', 'n': 8}, {'ZIP': '10032', 'n': 5}, {'ZIP': '10033', 'n': 5}, {'ZIP': '10069', 'n': 41}, {'ZIP': '10301', 'n': 8}, {'ZIP': '10456', 'n': 12}, {'ZIP': '10459', 'n': 13}, {'ZIP': '10466', 'n': 17}, {'ZIP': '10474', 'n': 5}, {'ZIP': '11207', 'n': 8}, {'ZIP': '11216', 'n': 8}, {'ZIP': '11221', 'n': 8}, {'ZIP': '11225', 'n': 5}, {'ZIP': '11236', 'n': 15}, {'ZIP': '11372', 'n': 16}, {'ZIP': '11377', 'n': 8}]"
zzw-223@627-rw7-rhq,"[157,116,25,16,117,137,153,140,110,30,35,122,136,157,155,125,18,20,126,158,130,167,103,23,22,140,152,128,106,100,19]","[{'ZIP': '10029', 'n': 8}, {'ZIP': '10030', 'n': 6}, {'ZIP': '10032', 'n': 8}, {'ZIP': '10037', 'n': 6}, {'ZIP': '10451', 'n': 31}, {'ZIP': '10452', 'n': 30}, {'ZIP': '10453', 'n': 23}, {'ZIP': '10454', 'n': 15}, {'ZIP': '10455', 'n': 29}, {'ZIP': '10456', 'n': 46}, {'ZIP': '10457', 'n': 55}, {'ZIP': '10458', 'n': 26}, {'ZIP': '10459', 'n': 35}, {'ZIP': '10460', 'n': 54}, {'ZIP': '10461', 'n': 107}, {'ZIP': '10462', 'n': 123}, {'ZIP': '10464', 'n': 15}, {'ZIP': '10465', 'n': 79}, {'ZIP': '10466', 'n': 63}, {'ZIP': '10467', 'n': 74}, {'ZIP': '10468', 'n': 26}, {'ZIP': '10469', 'n': 89}, {'ZIP': '10470', 'n': 13}, {'ZIP': '10471', 'n': 8}, {'ZIP': '10472', 'n': 71}, {'ZIP': '10473', 'n': 64}, {'ZIP': '10474', 'n': 12}, {'ZIP': '10475', 'n': 51}, {'ZIP': '11417', 'n': 8}, {'ZIP': '11421', 'n': 8}]"
zzw-225@627-s8r-7dv,"[9,13,13,14,15,18,17,19,19,13,5,15,10,7,18,14,10,4,9,9,6,14,13,5,3,16,16,8,10,13,19]","[{'ZIP': '10007', 'n': 6}, {'ZIP': '10019', 'n': 41}, {'ZIP': '10023', 'n': 8}, {'ZIP': '10036', 'n': 23}, {'ZIP': '10280', 'n': 6}, {'ZIP': '10282', 'n': 6}, {'ZIP': '11223', 'n': 5}, {'ZIP': '11432', 'n': 8}]"
zzz-222@627-s6j-mff,"[18,27,25,17,23,29,17,20,28,27,21,20,25,22,14,25,31,26,20,8,28,11,28,30,17,15,12,22,19,22,34]","[{'ZIP': '10455', 'n': 8}, {'ZIP': '10456', 'n': 8}, {'ZIP': '10457', 'n': 8}, {'ZIP': '10458', 'n': 12}, {'ZIP': '10459', 'n': 45}, {'ZIP': '10460', 'n': 74}, {'ZIP': '10461', 'n': 12}, {'ZIP': '10462', 'n': 8}, {'ZIP': '10467', 'n': 12}, {'ZIP': '10472', 'n': 12}, {'ZIP': '10473', 'n': 9}]"
zzz-222@627-vv2-66k,"[38,52,135,47,30,33,32,43,50,130,38,14,20,43,24,19,125,40,33,27,44,30,35,105,30,27,30,35,22,33,74]","[{'ZIP': '10301', 'n': 29}, {'ZIP': '10302', 'n': 27}, {'ZIP': '10303', 'n': 58}, {'ZIP': '10304', 'n': 12}, {'ZIP': '10305', 'n': 19}, {'ZIP': '10306', 'n': 53}, {'ZIP': '10307', 'n': 21}, {'ZIP': '10308', 'n': 33}, {'ZIP': '10309', 'n': 47}, {'ZIP': '10310', 'n': 40}, {'ZIP': '10312', 'n': 81}, {'ZIP': '10314', 'n': 219}, {'ZIP': '11228', 'n': 8}, {'ZIP': '11230', 'n': 8}]"
