placekey,visits_by_day,visitor_home_aggregation
zzz-222@627-s9t-3yv,"[97,108,129,122,95,79,94,83,110,129,102,116,89,71,82,108,116,116,119,95,82,139,135,138,122,135,102,89,132,103]","[{'ZIP': '10007', 'n': 8}, {'ZIP': '10009', 'n': 5}, {'ZIP': '10013', 'n': 8}, {'ZIP': '10029', 'n': 5}, {'ZIP': '10037', 'n': 8}, {'ZIP': '10459', 'n': 12}, {'ZIP': '10466', 'n': 8}, {'ZIP': '10467', 'n': 8}, {'ZIP': '10469', 'n': 8}, {'ZIP': '11004', 'n': 8}, {'ZIP': '11201', 'n': 8}, {'ZIP': '11206', 'n': 19}, {'ZIP': '11207', 'n': 158}, {'ZIP': '11208', 'n': 87}, {'ZIP': '11211', 'n': 11}, {'ZIP': '11212', 'n': 51}, {'ZIP': '11213', 'n': 22}, {'ZIP': '11216', 'n': 12}, {'ZIP': '11217', 'n': 8}, {'ZIP': '11221', 'n': 55}, {'ZIP': '11222', 'n': 11}, {'ZIP': '11223', 'n': 19}, {'ZIP': '11224', 'n': 15}, {'ZIP': '11225', 'n': 12}, {'ZIP': '11226', 'n': 12}, {'ZIP': '11229', 'n': 8}, {'ZIP': '11231', 'n': 8}, {'ZIP': '11233', 'n': 49}, {'ZIP': '11234', 'n': 8}, {'ZIP': '11235', 'n': 31}, {'ZIP': '11236', 'n': 12}, {'ZIP': '11237', 'n': 53}, {'ZIP': '11238', 'n': 8}, {'ZIP': '11356', 'n': 5}, {'ZIP': '11365', 'n': 8}, {'ZIP': '11367', 'n': 8}, {'ZIP': '11368', 'n': 21}, {'ZIP': '11373', 'n': 13}, {'ZIP': '11374', 'n': 20}, {'ZIP': '11375', 'n': 61}, {'ZIP': '11378', 'n': 12}, {'ZIP': '11379', 'n': 20}, {'ZIP': '11385', 'n': 174}, {'ZIP': '11411', 'n': 8}, {'ZIP': '11413', 'n': 12}, {'ZIP': '11414', 'n': 20}, {'ZIP': '11415', 'n': 17}, {'ZIP': '11416', 'n': 8}, {'ZIP': '11417', 'n': 12}, {'ZIP': '11418', 'n': 31}, {'ZIP': '11420', 'n': 18}, {'ZIP': '11421', 'n': 55}, {'ZIP': '11423', 'n': 9}, {'ZIP': '11427', 'n': 9}, {'ZIP': '11428', 'n': 12}, {'ZIP': '11429', 'n': 8}, {'ZIP': '11434', 'n': 22}, {'ZIP': '11435', 'n': 20}, {'ZIP': '11436', 'n': 8}, {'ZIP': '11691', 'n': 8}]"
zzy-223@627-wc7-st9,"[17,16,12,25,14,16,16,13,19,18,33,17,12,19,20,18,21,17,11,12,14,21,16,16,26,21,20,11,17,27]","[{'ZIP': '10002', 'n': 8}, {'ZIP': '10003', 'n': 16}, {'ZIP': '10009', 'n': 12}, {'ZIP': '10010', 'n': 12}, {'ZIP': '10011', 'n': 8}, {'ZIP': '10014', 'n': 12}, {'ZIP': '10016', 'n': 8}, {'ZIP': '10021', 'n': 8}, {'ZIP': '10075', 'n': 8}, {'ZIP': '11104', 'n': 9}, {'ZIP': '11218', 'n': 8}, {'ZIP': '11377', 'n': 9}]"
zzy-222@627-s6c-9s5,"[4,4,3,4,3,3,2,5,5,3,3,2,2,2,4,1,3,3,0,2,4,3,4,2,3,3,1,4,5,7]","[{'ZIP': '10454', 'n': 13}, {'ZIP': '10455', 'n': 33}, {'ZIP': '10459', 'n': 8}]"
22b-222@627-s8r-rtv,"[4,3,3,1,1,1,0,6,6,7,2,2,3,4,1,5,5,5,3,8,1,6,2,2,2,3,3,10,4,3]","[{'ZIP': '10022', 'n': 8}, {'ZIP': '10065', 'n': 8}, {'ZIP': '11106', 'n': 9}, {'ZIP': '11373', 'n': 10}, {'ZIP': '11377', 'n': 6}]"
223-223@627-s8j-h3q,"[8,6,9,15,5,14,11,12,12,10,7,6,7,10,11,12,8,12,9,5,7,9,9,10,7,9,4,6,9,15]","[{'ZIP': '10002', 'n': 16}, {'ZIP': '10003', 'n': 12}, {'ZIP': '10011', 'n': 8}, {'ZIP': '11204', 'n': 5}, {'ZIP': '11206', 'n': 8}, {'ZIP': '11220', 'n': 12}, {'ZIP': '11221', 'n': 8}, {'ZIP': '11237', 'n': 9}]"
zzw-228@627-s4r-wtv,"[12,21,28,24,19,13,16,15,28,24,28,16,14,28,18,23,19,25,18,15,15,18,23,13,27,17,15,13,19,23]","[{'ZIP': '10019', 'n': 6}, {'ZIP': '10023', 'n': 47}, {'ZIP': '10024', 'n': 10}, {'ZIP': '10025', 'n': 25}, {'ZIP': '10026', 'n': 9}, {'ZIP': '10027', 'n': 13}, {'ZIP': '10031', 'n': 12}, {'ZIP': '10035', 'n': 5}, {'ZIP': '10037', 'n': 9}, {'ZIP': '10069', 'n': 20}, {'ZIP': '10452', 'n': 8}, {'ZIP': '10454', 'n': 8}, {'ZIP': '10456', 'n': 8}, {'ZIP': '10457', 'n': 11}, {'ZIP': '10458', 'n': 12}, {'ZIP': '10459', 'n': 8}, {'ZIP': '10468', 'n': 9}, {'ZIP': '11226', 'n': 8}, {'ZIP': '11236', 'n': 8}]"
zzw-223@627-rw7-rhq,"[132,113,119,104,20,14,19,129,142,125,122,37,32,158,116,132,128,94,20,17,98,107,141,135,126,32,23,117,155,153]","[{'ZIP': '10027', 'n': 12}, {'ZIP': '10037', 'n': 8}, {'ZIP': '10039', 'n': 8}, {'ZIP': '10451', 'n': 14}, {'ZIP': '10452', 'n': 13}, {'ZIP': '10453', 'n': 21}, {'ZIP': '10454', 'n': 12}, {'ZIP': '10455', 'n': 20}, {'ZIP': '10456', 'n': 42}, {'ZIP': '10457', 'n': 33}, {'ZIP': '10458', 'n': 23}, {'ZIP': '10459', 'n': 56}, {'ZIP': '10460', 'n': 58}, {'ZIP': '10461', 'n': 96}, {'ZIP': '10462', 'n': 140}, {'ZIP': '10463', 'n': 16}, {'ZIP': '10464', 'n': 10}, {'ZIP': '10465', 'n': 63}, {'ZIP': '10466', 'n': 48}, {'ZIP': '10467', 'n': 75}, {'ZIP': '10468', 'n': 30}, {'ZIP': '10469', 'n': 99}, {'ZIP': '10470', 'n': 10}, {'ZIP': '10471', 'n': 8}, {'ZIP': '10472', 'n': 57}, {'ZIP': '10473', 'n': 52}, {'ZIP': '10475', 'n': 63}, {'ZIP': '11101', 'n': 8}, {'ZIP': '11236', 'n': 5}, {'ZIP': '11421', 'n': 8}, {'ZIP': '11691', 'n': 8}]"
zzw-225@627-s8r-7dv,"[12,10,14,17,17,8,5,12,14,11,15,20,10,14,6,13,15,14,7,8,18,16,18,15,19,6,12,15,18,15]","[{'ZIP': '10019', 'n': 31}, {'ZIP': '10028', 'n': 8}, {'ZIP': '10029', 'n': 8}, {'ZIP': '10036', 'n': 23}, {'ZIP': '11365', 'n': 5}, {'ZIP': '11366', 'n': 5}, {'ZIP': '11372', 'n': 12}, {'ZIP': '11411', 'n': 10}, {'ZIP': '11429', 'n': 10}]"
zzz-222@627-s6j-mff,"[23,26,32,37,23,15,33,23,30,30,28,40,35,29,25,12,27,28,24,22,24,19,30,32,20,19,21,33,16,26]","[{'ZIP': '10031', 'n': 9}, {'ZIP': '10032', 'n': 5}, {'ZIP': '10456', 'n': 17}, {'ZIP': '10457', 'n': 8}, {'ZIP': '10458', 'n': 8}, {'ZIP': '10459', 'n': 53}, {'ZIP': '10460', 'n': 70}, {'ZIP': '10466', 'n': 8}, {'ZIP': '10467', 'n': 12}, {'ZIP': '10472', 'n': 11}, {'ZIP': '10473', 'n': 8}, {'ZIP': '10474', 'n': 12}]"
zzz-222@627-vv2-66k,"[30,33,36,35,25,25,21,39,47,39,50,50,37,23,40,62,38,23,73,45,29,42,46,37,39,114,42,31,25,27]","[{'ZIP': '10301', 'n': 33}, {'ZIP': '10302', 'n': 37}, {'ZIP': '10303', 'n': 65}, {'ZIP': '10304', 'n': 12}, {'ZIP': '10305', 'n': 15}, {'ZIP': '10306', 'n': 50}, {'ZIP': '10307', 'n': 16}, {'ZIP': '10308', 'n': 23}, {'ZIP': '10309', 'n': 39}, {'ZIP': '10310', 'n': 40}, {'ZIP': '10312', 'n': 80}, {'ZIP': '10314', 'n': 247}, {'ZIP': '11209', 'n': 12}, {'ZIP': '11235', 'n': 8}]"
