placekey,visits_by_day,visitor_home_aggregation
224-222@627-s4v-4vz,"[11,15,17,22,23,17,27,25,29,15,13,27,20,17,9,19,17,17,15,12,12,18,20,10,20,11,18,21,14,21,15]","[{'ZIP': '10029', 'n': 91}, {'ZIP': '10128', 'n': 8}, {'ZIP': '10451', 'n': 8}, {'ZIP': '10456', 'n': 9}, {'ZIP': '10468', 'n': 8}, {'ZIP': '11361', 'n': 5}, {'ZIP': '11362', 'n': 7}]"
22z-222@627-s4t-wzf,"[13,18,11,9,17,15,19,19,17,10,13,19,15,16,14,11,19,13,12,11,18,10,17,13,9,11,13,15,13,10,9]","[{'ZIP': '10026', 'n': 16}, {'ZIP': '10027', 'n': 16}, {'ZIP': '10029', 'n': 31}, {'ZIP': '10035', 'n': 39}, {'ZIP': '11238', 'n': 8}]"
zzw-229@627-s8r-yn5,"[3,5,2,16,12,11,11,8,9,4,11,6,6,8,5,3,5,8,9,6,11,8,11,1,6,10,5,9,9,6,4]","[{'ZIP': '10019', 'n': 5}, {'ZIP': '10028', 'n': 13}, {'ZIP': '10075', 'n': 13}, {'ZIP': '10128', 'n': 8}, {'ZIP': '10306', 'n': 5}, {'ZIP': '10308', 'n': 5}, {'ZIP': '11207', 'n': 5}, {'ZIP': '11212', 'n': 9}, {'ZIP': '11214', 'n': 8}, {'ZIP': '11236', 'n': 5}]"
zzz-222@627-s6m-qcq,"[10,10,8,11,6,11,18,18,10,10,6,5,10,17,12,11,9,15,11,9,12,8,11,6,15,9,8,9,7,11,11]","[{'ZIP': '10001', 'n': 5}, {'ZIP': '10018', 'n': 5}, {'ZIP': '10027', 'n': 8}, {'ZIP': '10032', 'n': 56}, {'ZIP': '10033', 'n': 44}, {'ZIP': '10040', 'n': 8}, {'ZIP': '10453', 'n': 8}]"
22p-222@627-s6g-4sq,"[3,7,3,5,1,4,2,5,4,3,2,3,4,4,7,4,5,5,6,3,2,1,1,5,5,3,3,5,0,9,4]","[{'ZIP': '10030', 'n': 22}, {'ZIP': '10037', 'n': 18}, {'ZIP': '10039', 'n': 26}]"
22c-222@627-s4v-wff,"[4,5,5,3,5,4,7,9,6,7,2,1,2,6,4,4,5,3,5,3,2,5,6,5,6,4,2,8,10,4,7]","[{'ZIP': '10026', 'n': 8}, {'ZIP': '10029', 'n': 25}, {'ZIP': '10035', 'n': 33}, {'ZIP': '10473', 'n': 9}]"
zzy-222@627-s8r-wzf,"[11,71,3,2,4,8,6,8,10,10,6,1,8,8,5,12,21,6,4,3,3,9,6,2,0,2,4,3,1,12,5]","[{'ZIP': '10019', 'n': 8}, {'ZIP': '10028', 'n': 8}, {'ZIP': '10128', 'n': 12}, {'ZIP': '11414', 'n': 8}]"
22h-222@627-s5w-x3q,"[3,10,3,12,5,8,10,11,5,5,5,3,6,9,9,3,11,4,5,6,3,5,2,5,6,3,4,3,7,8,5]","[{'ZIP': '10032', 'n': 12}, {'ZIP': '10034', 'n': 39}, {'ZIP': '10040', 'n': 8}, {'ZIP': '10453', 'n': 5}, {'ZIP': '10463', 'n': 12}, {'ZIP': '10468', 'n': 8}]"
zzw-222@627-s8f-cbk,"[1,6,3,14,14,14,12,10,6,5,12,14,6,8,15,9,6,5,12,11,8,7,4,10,8,9,12,4,8,3,12]","[{'ZIP': '10016', 'n': 10}, {'ZIP': '10017', 'n': 14}, {'ZIP': '11208', 'n': 5}, {'ZIP': '11221', 'n': 8}, {'ZIP': '11237', 'n': 8}]"
zzy-223@627-sbd-92k,"[248,307,374,285,255,185,251,214,124,223,206,162,194,243,256,178,193,228,155,162,220,188,138,157,168,157,149,188,207,131,193]","[{'ZIP': '10002', 'n': 9}, {'ZIP': '10003', 'n': 20}, {'ZIP': '10005', 'n': 5}, {'ZIP': '10009', 'n': 13}, {'ZIP': '10010', 'n': 13}, {'ZIP': '10016', 'n': 9}, {'ZIP': '10021', 'n': 27}, {'ZIP': '10022', 'n': 8}, {'ZIP': '10023', 'n': 21}, {'ZIP': '10024', 'n': 20}, {'ZIP': '10025', 'n': 16}, {'ZIP': '10026', 'n': 8}, {'ZIP': '10027', 'n': 12}, {'ZIP': '10028', 'n': 37}, {'ZIP': '10029', 'n': 14}, {'ZIP': '10034', 'n': 5}, {'ZIP': '10035', 'n': 14}, {'ZIP': '10038', 'n': 9}, {'ZIP': '10039', 'n': 8}, {'ZIP': '10065', 'n': 15}, {'ZIP': '10075', 'n': 33}, {'ZIP': '10128', 'n': 20}, {'ZIP': '10306', 'n': 8}, {'ZIP': '10312', 'n': 8}, {'ZIP': '10451', 'n': 12}, {'ZIP': '10452', 'n': 12}, {'ZIP': '10454', 'n': 5}, {'ZIP': '10455', 'n': 14}, {'ZIP': '10456', 'n': 12}, {'ZIP': '10457', 'n': 8}, {'ZIP': '10459', 'n': 9}, {'ZIP': '10460', 'n': 12}, {'ZIP': '10462', 'n': 8}, {'ZIP': '10463', 'n': 12}, {'ZIP': '10465', 'n': 8}, {'ZIP': '10467', 'n': 12}, {'ZIP': '10470', 'n': 8}, {'ZIP': '10473', 'n': 12}, {'ZIP': '10474', 'n': 8}, {'ZIP': '11004', 'n': 8}, {'ZIP': '11101', 'n': 12}, {'ZIP': '11102', 'n': 19}, {'ZIP': '11103', 'n': 10}, {'ZIP': '11104', 'n': 17}, {'ZIP': '11105', 'n': 20}, {'ZIP': '11106', 'n': 19}, {'ZIP': '11201', 'n': 8}, {'ZIP': '11203', 'n': 12}, {'ZIP': '11204', 'n': 14}, {'ZIP': '11205', 'n': 8}, {'ZIP': '11207', 'n': 16}, {'ZIP': '11208', 'n': 24}, {'ZIP': '11209', 'n': 8}, {'ZIP': '11210', 'n': 8}, {'ZIP': '11211', 'n': 8}, {'ZIP': '11212', 'n': 18}, {'ZIP': '11213', 'n': 16}, {'ZIP': '11214', 'n': 20}, {'ZIP': '11215', 'n': 5}, {'ZIP': '11217', 'n': 9}, {'ZIP': '11218', 'n': 8}, {'ZIP': '11220', 'n': 8}, {'ZIP': '11223', 'n': 54}, {'ZIP': '11224', 'n': 9}, {'ZIP': '11226', 'n': 8}, {'ZIP': '11229', 'n': 35}, {'ZIP': '11230', 'n': 29}, {'ZIP': '11234', 'n': 20}, {'ZIP': '11235', 'n': 38}, {'ZIP': '11236', 'n': 16}, {'ZIP': '11237', 'n': 8}, {'ZIP': '11238', 'n': 9}, {'ZIP': '11354', 'n': 12}, {'ZIP': '11355', 'n': 16}, {'ZIP': '11357', 'n': 20}, {'ZIP': '11361', 'n': 8}, {'ZIP': '11362', 'n': 8}, {'ZIP': '11363', 'n': 13}, {'ZIP': '11364', 'n': 29}, {'ZIP': '11365', 'n': 35}, {'ZIP': '11366', 'n': 43}, {'ZIP': '11367', 'n': 28}, {'ZIP': '11368', 'n': 28}, {'ZIP': '11369', 'n': 24}, {'ZIP': '11370', 'n': 32}, {'ZIP': '11372', 'n': 55}, {'ZIP': '11373', 'n': 34}, {'ZIP': '11374', 'n': 16}, {'ZIP': '11375', 'n': 16}, {'ZIP': '11377', 'n': 60}, {'ZIP': '11378', 'n': 8}, {'ZIP': '11379', 'n': 12}, {'ZIP': '11385', 'n': 20}, {'ZIP': '11413', 'n': 14}, {'ZIP': '11415', 'n': 8}, {'ZIP': '11417', 'n': 8}, {'ZIP': '11418', 'n': 16}, {'ZIP': '11419', 'n': 8}, {'ZIP': '11420', 'n': 21}, {'ZIP': '11421', 'n': 8}, {'ZIP': '11422', 'n': 10}, {'ZIP': '11423', 'n': 6}, {'ZIP': '11426', 'n': 16}, {'ZIP': '11427', 'n': 13}, {'ZIP': '11428', 'n': 12}, {'ZIP': '11432', 'n': 10}, {'ZIP': '11434', 'n': 8}, {'ZIP': '11435', 'n': 12}, {'ZIP': '11691', 'n': 12}]"
