placekey,visits_by_day,visitor_home_aggregation
22d-222@627-s8r-rzf,"[9,11,5,3,4,6,8,6,8,10,6,1,12,8,15,4,7,4,5,10,30,7,10,9,4,3,7,4,8,4]","[{'ZIP': '10022', 'n': 37}, {'ZIP': '10065', 'n': 12}, {'ZIP': '10128', 'n': 8}, {'ZIP': '11374', 'n': 8}]"
222-223@627-s4m-w8v,"[14,38,44,53,81,66,13,14,48,52,68,43,14,52,13,59,60,86,34,40,32,18,46,55,60,52,28,31,8,26]","[{'ZIP': '10001', 'n': 13}, {'ZIP': '10003', 'n': 36}, {'ZIP': '10009', 'n': 10}, {'ZIP': '10011', 'n': 16}, {'ZIP': '10012', 'n': 8}, {'ZIP': '10018', 'n': 14}, {'ZIP': '10019', 'n': 22}, {'ZIP': '10021', 'n': 12}, {'ZIP': '10022', 'n': 9}, {'ZIP': '10023', 'n': 13}, {'ZIP': '10024', 'n': 7}, {'ZIP': '10025', 'n': 12}, {'ZIP': '10026', 'n': 7}, {'ZIP': '10027', 'n': 12}, {'ZIP': '10028', 'n': 12}, {'ZIP': '10036', 'n': 13}, {'ZIP': '10069', 'n': 5}, {'ZIP': '10075', 'n': 12}, {'ZIP': '10128', 'n': 8}, {'ZIP': '10458', 'n': 8}, {'ZIP': '11103', 'n': 6}, {'ZIP': '11201', 'n': 11}, {'ZIP': '11205', 'n': 7}, {'ZIP': '11216', 'n': 8}, {'ZIP': '11217', 'n': 7}, {'ZIP': '11229', 'n': 8}, {'ZIP': '11358', 'n': 8}, {'ZIP': '11379', 'n': 5}]"
22h-225@627-s4n-vpv,"[22,19,21,28,30,17,12,19,15,14,20,18,15,27,31,26,26,20,16,24,23,21,28,25,10,11,17,18,26,32]","[{'ZIP': '10029', 'n': 5}, {'ZIP': '10033', 'n': 5}, {'ZIP': '10128', 'n': 30}, {'ZIP': '11102', 'n': 8}]"
zzy-222@627-wc8-qpv,"[54,39,24,16,18,23,34,35,28,53,17,13,151,96,123,30,101,25,23,137,124,87,117,118,19,16,128,117,136,104]","[{'ZIP': '10304', 'n': 5}, {'ZIP': '10314', 'n': 9}, {'ZIP': '11201', 'n': 37}, {'ZIP': '11203', 'n': 16}, {'ZIP': '11205', 'n': 16}, {'ZIP': '11206', 'n': 8}, {'ZIP': '11207', 'n': 24}, {'ZIP': '11208', 'n': 32}, {'ZIP': '11210', 'n': 26}, {'ZIP': '11212', 'n': 8}, {'ZIP': '11213', 'n': 8}, {'ZIP': '11214', 'n': 5}, {'ZIP': '11218', 'n': 8}, {'ZIP': '11221', 'n': 12}, {'ZIP': '11223', 'n': 9}, {'ZIP': '11226', 'n': 12}, {'ZIP': '11229', 'n': 12}, {'ZIP': '11230', 'n': 8}, {'ZIP': '11232', 'n': 8}, {'ZIP': '11233', 'n': 12}, {'ZIP': '11235', 'n': 12}, {'ZIP': '11236', 'n': 5}, {'ZIP': '11237', 'n': 12}, {'ZIP': '11239', 'n': 8}, {'ZIP': '11373', 'n': 5}, {'ZIP': '11377', 'n': 9}, {'ZIP': '11413', 'n': 5}, {'ZIP': '11421', 'n': 8}, {'ZIP': '11422', 'n': 5}]"
22h-223@627-s6f-3t9,"[7,7,5,9,3,7,5,5,4,10,6,5,7,9,7,4,7,8,6,8,13,13,7,12,3,8,6,7,8,9]","[{'ZIP': '10030', 'n': 8}, {'ZIP': '10031', 'n': 22}, {'ZIP': '10032', 'n': 33}, {'ZIP': '10037', 'n': 8}, {'ZIP': '10452', 'n': 6}]"
23k-222@627-s4v-2p9,"[0,2,1,4,1,3,3,4,3,2,4,0,3,7,2,1,6,0,1,0,5,1,4,4,3,2,2,3,2,2]","[{'ZIP': '10029', 'n': 21}, {'ZIP': '10455', 'n': 8}, {'ZIP': '10456', 'n': 8}, {'ZIP': '10457', 'n': 8}, {'ZIP': '10459', 'n': 8}, {'ZIP': '10475', 'n': 5}]"
22q-222@627-s4v-5mk,"[6,9,11,4,2,8,4,5,4,9,9,5,7,7,15,7,14,7,0,9,4,9,5,12,6,3,7,11,7,4]","[{'ZIP': '10026', 'n': 8}, {'ZIP': '10029', 'n': 46}, {'ZIP': '10035', 'n': 14}, {'ZIP': '10451', 'n': 8}, {'ZIP': '10454', 'n': 8}, {'ZIP': '10455', 'n': 8}, {'ZIP': '10456', 'n': 8}, {'ZIP': '11216', 'n': 8}]"
zzz-222@627-sbb-9fz,"[4,4,10,7,6,8,9,4,12,13,11,5,15,14,11,11,17,10,9,14,13,11,11,12,14,10,11,10,10,14]","[{'ZIP': '11102', 'n': 33}, {'ZIP': '11103', 'n': 14}, {'ZIP': '11105', 'n': 42}, {'ZIP': '11106', 'n': 12}, {'ZIP': '11370', 'n': 8}, {'ZIP': '11372', 'n': 8}, {'ZIP': '11377', 'n': 8}]"
229-222@627-wbt-td9,"[28,15,31,9,9,10,34,33,32,35,14,11,36,30,36,31,34,12,7,42,32,49,46,42,16,8,38,30,26,42]","[{'ZIP': '10001', 'n': 6}, {'ZIP': '10460', 'n': 6}, {'ZIP': '10462', 'n': 10}, {'ZIP': '11221', 'n': 8}, {'ZIP': '11234', 'n': 8}, {'ZIP': '11370', 'n': 6}, {'ZIP': '11372', 'n': 10}]"
zzw-223@627-s4m-5zz,"[5,2,8,3,6,9,10,5,6,7,8,7,12,8,6,3,8,7,4,2,2,8,3,7,10,2,8,1,8,7]","[{'ZIP': '10025', 'n': 28}, {'ZIP': '10026', 'n': 10}, {'ZIP': '10027', 'n': 9}, {'ZIP': '10031', 'n': 12}, {'ZIP': '10471', 'n': 8}, {'ZIP': '11370', 'n': 5}, {'ZIP': '11372', 'n': 5}, {'ZIP': '11377', 'n': 5}]"
